title,author,ISBN,ISBN13,rating,avg_rating,publisher,binding,number_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshleves_with_position,exclusive_shelf,my_review,open_library_url_info_ISBN,open_library_url_info_ISBN13,notes,recommendation_from
Des mains heureuses,Claire Richard,,,,,,,,,,,2023/05/30,,,to-read,,,https://www.babelio.com/livres/Richard-Des-mains-heureuses--Une-archeologie-du-toucher/1485842,,
The Tibetan Book of Living and Dying,Sogyal Rinpoche,,,,,,,,,,,2023/05/04,,,to-read,,,https://www.rigpa.org/tibetan-book-of-living-and-dying#:~:text=A%20manual%20for%20life%20and,dying%2C%20and%20to%20the%20trials,
Citizens: A Chronicle of the French Revolution,Simon Schama,,,,,,,,,,,2022/12/02,,,to-read,,,,,
Énergie et équité,Ivan Illich,source:https://www.thegreatsimplification.com/episode/47-patrick-ophuls,,,,,,,,,,2022/12/02,,,to-read,,,https://www.arthaud.fr/energie-et-equite/9782081428577,,
How the World Really Works,Vaclav Smil,source:https://www.thegreatsimplification.com/episode/47-patrick-ophuls,,,,,,,,,,2022/12/02,,,to-read,,,https://www.penguinrandomhouse.com/books/666342/how-the-world-really-works-by-vaclav-smil/,,
A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,source:https://www.thegreatsimplification.com/episode/47-patrick-ophuls,,,,,,,,,,2022/12/02,,,to-read,,,https://www.thriftbooks.com/w/a-distant-mirror-the-calamitous-14th-century-by-barbara-w-tuchman/246602/?gclid=Cj0KCQiA1ZGcBhCoARIsAGQ0kkr5cnLy9K9CAV1bpLrBZAwkpB7B-t5Tt1uFqVfbkOTpHMhcSrr6Bt0aAk7rEALw_wcB#edition=2360248&idiq=826404,,
Thinking in Systems,Donella H. Meadows,source:https://www.thegreatsimplification.com/episode/47-patrick-ophuls,,,,,,,,,,2022/12/02,,,to-read,,,https://www.thriftbooks.com/w/thinking-in-systems-a-primer_donella-h-meadows/258994/item/7108396/,,
Adieu à la croissance. Bien vivre dans un monde solidaire,Jean Gadrey ,,,,,,,,,,,2022/12/02,,,to-read,,,https://journals.openedition.org/lectures/17499,,
Souriez vous êtes Français !,Bernard Maris ,,,,,,,,,,,2022/12/02,,,to-read,,,https://www.grasset.fr/livres/souriez-vous-etes-francais-9782246861102,,
La permaculture dans un petit jardin,Kurt Forster,,,,,,,,,,,2022/12/02,,,to-read,,,https://www.librairie-permaculturelle.fr/au-jardin/38-livre-la-permaculture-dans-un-petit-jardin-kurt-forster.html,,
La permaculture en appartement,VIRBEL ALONSO Christine,,,,,,,,,,,2022/12/02,,,to-read,,,https://editions-jouvence.fr/livre/la-permaculture-en-appartement/,,
Les Trente Glorieuses,Jean Fourastié,,,,,,,,,,,2022/11/02,,,to-read,,,https://www.fayard.fr/sciences-humaines/les-trente-glorieuses-9782213006833,,
Le vieil homme et son chat - Tome 1,Nekomaki,,,3.0,,,,,2015.0,,2020/11/19,2020/03/09,read,to-read (#107),read,,,,,
L'art de perdre,Alice Zeniter,,,4.0,,,,,2020,,2020/11/11,,read,,read,,,https://editions.flammarion.com/Catalogue/hors-collection/litterature-francaise/lart-de-perdre,,
Le Temps des humbles,Désirée et Alain Frappier,,,5.0,,,,,2020,,2020/10/01,,read,,read,,,https://steinkis.com/livres/le-temps-des-humbles/le-temps-des-humbles.html,,
Ne plus se mentir,Jean-Marc Gancille,,,4.0,,Rue de l'échiquier,,,2019,,2020/07/12,,read,,read,,,https://www.ruedelechiquier.net/essais/208-ne-plus-se-mentir.html,,
Comment je suis devenu anarchiste,Isabelle Attard,,,4.0,,Seuil - Reporterre,,,2019,,2020/07/03,2020/05/20,read,,read,,,https://www.seuil.com/ouvrage/comment-je-suis-devenue-anarchiste-isabelle-attard/9782021440355,,
Les racines du ciel,Romain Gary,,,5.0,,,,,2019,2019.0,2020/06/12,2020/05/11,read,,read,,,https://www.placedeslibraires.fr/livre/9782070226634-les-racines-du-ciel-romain-gary/,,
Plutôt couler en beauté que flotter sans grâce,Corinne Morel Darleux,,,5.0,,Libertalia,,,2019.0,2019.0,2020/05/12,2020/05/11,read,,read,,,https://www.editionslibertalia.com/catalogue/la-petite-litteraire/corinne-morel-darleux-plutot-couler-en-beaute,,
Sum: Forty Tales from the Afterlives,David Eagleman,307377342,,3.0,4.14,Pantheon,Hardcover,110,2009.0,2009.0,2020/04/20,2016/08/23,read,to-read (#45),read,,,https://openlibrary.org/books/OL16873074M/Sum,,
Illusion financière (3e édition),Gaël Giraud,,,4.0,3.57,Éditions de l'Atelier,Kindle Edition,253,2014.0,2014.0,2020/04/13,2019/03/31,,read (#92),read,,,,,
Nino dans la nuit,Capucine & Simon Johannin,,,5.0,3.73,Editions Allia,Kindle Edition,279,2019.0,,2020/03/24,2019/01/05,,,read,,,,,
Introduction à la pensée complexe,Edgar Morin,,,,,,,,,,,2022/04/05,,,to-read,,,https://www.seuil.com/ouvrage/introduction-a-la-pensee-complexe-edgar-morin/9782757842003,,
77, Marin Fouqué,,,0.0,,,,,,,,2021/09/30,,,to-read,,,https://www.actes-sud.fr/catalogue/77,,
Racisme de l'intelligence, Pierre Bourdieu,,,0.0,,,,,,,,2021/09/21,,,to-read,,,https://www.monde-diplomatique.fr/2004/04/BOURDIEU/11113,,
Noces, Camus,,,0.0,,,,,,,,2021/09/21,,,to-read,,,https://archive.org/details/nocessuividelt00camu/mode/2up,,
Une écologie décoloniale,Malcom Ferdinand,,,0.0,,,,,,,,2021/09/09,,,to-read,,,https://www.seuil.com/ouvrage/une-ecologie-decoloniale-malcom-ferdinand/9782021388497,,
